filename,title,caption,emphasis
art_001.jpg,빛의 결 No.1,캔버스에 아크릴 · 116.8 x 91.0 cm,빛의 결
art_002.jpg,여백의 시간,캔버스에 유채 · 90.9 x 72.7 cm,여백
art_003.jpg,푸른 문장,캔버스에 혼합재료 · 130.3 x 97.0 cm,푸른 문장
art_004.jpg,겹쳐진 계절,캔버스에 아크릴 · 100.0 x 80.3 cm,계절
art_005.jpg,붉은 신호,캔버스에 유채 · 116.8 x 80.3 cm,붉은 신호
art_006.jpg,고요한 표면,캔버스에 아크릴 · 72.7 x 60.6 cm,고요
art_007.jpg,결 No.7,캔버스에 혼합재료 · 145.5 x 112.1 cm,결
art_008.jpg,흐름의 기록,캔버스에 아크릴 · 90.9 x 65.1 cm,흐름
art_009.jpg,사이의 색,캔버스에 유채 · 116.8 x 91.0 cm,사이
art_010.jpg,닿는 자리,캔버스에 아크릴 · 80.3 x 65.1 cm,닿는 자리
art_011.jpg,오후의 각도,캔버스에 혼합재료 · 100.0 x 72.7 cm,각도
art_012.jpg,마지막 붓,캔버스에 유채 · 130.3 x 97.0 cm,마지막 붓
clip_001.mp4,전시장 전경,관람 동선 스케치,전시장
clip_002.mp4,작가 인터뷰 컷,작업실 기록 영상,인터뷰
